"Application","AppDescription","Role","RoleDescription","MemberCount","Members"
"Comptabilite","Application Comptabilite","","","0",""
"Comptabilite","Application Comptabilite","Comptabilite-Admin","Rôle Administrateur Comptabilite - accès complet","1","jdupont"
"Comptabilite","Application Comptabilite","Comptabilite-Consultant","Rôle Consultant Comptabilite - accès lecture/support","1","mmartin"
"Comptabilite","Application Comptabilite","Comptabilite-Standard","Rôle Utilisateur standard Comptabilite - accès fonctionnel courant","3","hlemoine; agarcia; pbernard"
"Juridique","Application Juridique","","","0",""
"Juridique","Application Juridique","Juridique-Admin","Rôle Administrateur Juridique - accès complet","1","cbenali"
"Juridique","Application Juridique","Juridique-Standard","Rôle Utilisateur standard Juridique - accès fonctionnel courant","1","vlefevre"
"Marketing","Application Marketing","","","0",""
"Marketing","Application Marketing","Marketing-Consultant","Rôle Consultant Marketing - accès lecture/support","1","tgirard"
"Marketing","Application Marketing","Marketing-Owner","Rôle Application owner Marketing - responsable métier","1","ymichel"
"Marketing","Application Marketing","Marketing-Standard","Rôle Utilisateur standard Marketing - accès fonctionnel courant","2","opetit; nleroy"
"RH","Application Ressources Humaines","","","0",""
"RH","Application Ressources Humaines","RH-Admin","Rôle Administrateur RH - accès complet","1","rmoreau"
"RH","Application Ressources Humaines","RH-Standard","Rôle Utilisateur standard RH - accès fonctionnel courant","2","kdiallo; sfontaine"
"Support-N3","Application Support N3","","","0",""
"Support-N3","Application Support N3","Support-N3-Admin","Rôle Administrateur Support-N3 - accès complet","1","Bertrand Caron"
"Support-N3","Application Support N3","Support-N3-Standard","Rôle Utilisateur standard Support-N3 - accès fonctionnel courant","2","Julien Roche; Nadia Faure"
